step,cb,random
194,0.824742,0.881443,0.21134
195,0.825641,0.882051,0.210256
196,0.826531,0.882653,0.209184
197,0.827411,0.883249,0.208122
198,0.828283,0.883838,0.207071
199,0.829146,0.884422,0.20603
200,0.83,0.885,0.21
201,0.830846,0.885572,0.208955
202,0.831683,0.886139,0.212871
203,0.832512,0.8867,0.211823
204,0.833333,0.887255,0.210784
205,0.834146,0.887805,0.209756
206,0.834951,0.88835,0.208738
207,0.835749,0.888889,0.207729
208,0.836538,0.889423,0.206731
209,0.837321,0.889952,0.210526
210,0.838095,0.890476,0.209524
211,0.838863,0.890995,0.208531
212,0.839623,0.891509,0.207547
213,0.840376,0.892019,0.211268
214,0.841121,0.892523,0.21028
215,0.84186,0.893023,0.209302
216,0.837963,0.893519,0.208333
217,0.83871,0.894009,0.211982
218,0.83945,0.894495,0.211009
219,0.840183,0.894977,0.210046
220,0.840909,0.895455,0.209091
221,0.841629,0.895928,0.208145
222,0.842342,0.896396,0.211712
223,0.843049,0.896861,0.210762
224,0.84375,0.897321,0.209821
225,0.844444,0.897778,0.213333
226,0.845133,0.89823,0.212389
227,0.845815,0.898678,0.211454
228,0.846491,0.899123,0.214912
229,0.847162,0.899563,0.218341
230,0.847826,0.9,0.217391
231,0.848485,0.900433,0.220779
232,0.849138,0.900862,0.219828
233,0.849785,0.901288,0.218884
234,0.850427,0.901709,0.222222
235,0.851064,0.902128,0.221277
236,0.851695,0.902542,0.220339
237,0.852321,0.902954,0.219409
238,0.852941,0.903361,0.222689
239,0.853556,0.903766,0.221757
240,0.854167,0.904167,0.220833
241,0.854772,0.904564,0.219917
242,0.855372,0.904959,0.219008
243,0.855967,0.90535,0.222222
244,0.856557,0.905738,0.221311
245,0.857143,0.906122,0.220408
246,0.857724,0.906504,0.219512
247,0.8583,0.906883,0.218623
248,0.858871,0.907258,0.217742
249,0.859438,0.907631,0.216867
250,0.86,0.908,0.216
251,0.860558,0.908367,0.215139
252,0.861111,0.90873,0.214286
253,0.86166,0.909091,0.213439
254,0.862205,0.909449,0.212598
255,0.862745,0.909804,0.211765
256,0.863281,0.910156,0.210938
257,0.863813,0.910506,0.210117
258,0.864341,0.910853,0.209302
259,0.864865,0.911197,0.212355
260,0.865385,0.911538,0.211538
261,0.8659,0.911877,0.210728
262,0.866412,0.912214,0.209924
263,0.86692,0.912548,0.209125
264,0.867424,0.912879,0.208333
265,0.867925,0.913208,0.207547
266,0.868421,0.913534,0.206767
267,0.868914,0.913858,0.209738
268,0.869403,0.914179,0.208955
269,0.869888,0.914498,0.208178
270,0.87037,0.914815,0.211111
271,0.870849,0.915129,0.210332
272,0.871324,0.915441,0.209559
273,0.871795,0.915751,0.208791
274,0.872263,0.916058,0.211679
275,0.872727,0.916364,0.214545
276,0.873188,0.916667,0.213768
277,0.873646,0.916968,0.212996
278,0.874101,0.917266,0.21223
279,0.874552,0.913978,0.21147
280,0.875,0.914286,0.210714
281,0.875445,0.914591,0.209964
282,0.875887,0.914894,0.20922
283,0.876325,0.915194,0.208481
284,0.876761,0.915493,0.211268
285,0.877193,0.915789,0.210526
286,0.877622,0.916084,0.20979
287,0.878049,0.916376,0.212544
288,0.875,0.916667,0.211806
289,0.875433,0.916955,0.214533
290,0.875862,0.917241,0.213793
291,0.876289,0.917526,0.216495
292,0.876712,0.917808,0.215753
293,0.877133,0.918089,0.215017
294,0.877551,0.918367,0.214286
295,0.877966,0.918644,0.213559
296,0.878378,0.918919,0.212838
297,0.878788,0.919192,0.212121
298,0.879195,0.919463,0.211409
299,0.879599,0.919732,0.214047
300,0.88,0.92,0.213333
301,0.880399,0.920266,0.212625
302,0.880795,0.92053,0.215232
303,0.881188,0.920792,0.214521
304,0.881579,0.921053,0.213816
305,0.881967,0.921311,0.213115
306,0.882353,0.921569,0.212418
307,0.882736,0.921824,0.211726
308,0.883117,0.922078,0.211039
309,0.883495,0.92233,0.213592
310,0.883871,0.922581,0.212903
311,0.884244,0.919614,0.212219
312,0.884615,0.919872,0.211538
313,0.884984,0.920128,0.210863
314,0.88535,0.920382,0.210191
315,0.88254,0.920635,0.212698
316,0.882911,0.920886,0.21519
317,0.883281,0.921136,0.214511
318,0.883648,0.921384,0.213836
319,0.884013,0.92163,0.213166
320,0.884375,0.921875,0.2125
321,0.884735,0.922118,0.211838
322,0.885093,0.92236,0.21118
323,0.885449,0.922601,0.210526
324,0.885802,0.92284,0.209877
325,0.886154,0.923077,0.209231
326,0.886503,0.923313,0.208589
327,0.88685,0.923547,0.211009
328,0.887195,0.92378,0.213415
329,0.887538,0.924012,0.212766
330,0.887879,0.924242,0.215152
331,0.888218,0.924471,0.217523
332,0.888554,0.924699,0.216867
333,0.885886,0.924925,0.216216
334,0.886228,0.92515,0.215569
335,0.886567,0.925373,0.214925
336,0.886905,0.925595,0.214286
337,0.88724,0.925816,0.21365
338,0.887574,0.926036,0.213018
