step,cb,random
273,0.912088,0.271062
274,0.912409,0.270073
275,0.912727,0.269091
276,0.913043,0.268116
277,0.913357,0.270758
278,0.913669,0.273381
279,0.913978,0.272401
280,0.914286,0.271429
281,0.914591,0.270463
282,0.914894,0.269504
283,0.915194,0.272085
284,0.915493,0.271127
285,0.915789,0.270175
286,0.916084,0.272727
287,0.916376,0.271777
288,0.916667,0.274306
289,0.916955,0.273356
290,0.917241,0.272414
291,0.917526,0.271478
292,0.917808,0.270548
293,0.918089,0.273038
294,0.918367,0.272109
295,0.918644,0.271186
296,0.918919,0.273649
297,0.919192,0.272727
298,0.919463,0.271812
299,0.919732,0.270903
300,0.92,0.27
301,0.920266,0.269103
302,0.92053,0.268212
303,0.920792,0.270627
304,0.921053,0.269737
305,0.921311,0.268852
306,0.921569,0.267974
307,0.921824,0.267101
308,0.922078,0.266234
309,0.919094,0.265372
310,0.919355,0.264516
311,0.919614,0.263666
312,0.919872,0.262821
313,0.920128,0.261981
314,0.920382,0.264331
315,0.920635,0.263492
316,0.920886,0.262658
317,0.921136,0.264984
318,0.918239,0.267296
319,0.918495,0.269592
320,0.91875,0.26875
321,0.919003,0.267913
322,0.919255,0.267081
323,0.919505,0.266254
324,0.919753,0.265432
325,0.92,0.264615
326,0.920245,0.263804
327,0.920489,0.262997
328,0.920732,0.262195
329,0.920973,0.261398
330,0.921212,0.260606
331,0.92145,0.259819
332,0.921687,0.259036
333,0.918919,0.258258
334,0.919162,0.257485
335,0.919403,0.256716
336,0.919643,0.255952
337,0.919881,0.25816
338,0.920118,0.260355
339,0.920354,0.262537
340,0.920588,0.261765
341,0.920821,0.260997
342,0.921053,0.260234
343,0.921283,0.259475
344,0.921512,0.258721
345,0.921739,0.257971
346,0.921965,0.257225
347,0.92219,0.256484
348,0.922414,0.255747
349,0.922636,0.255014
350,0.922857,0.254286
351,0.923077,0.253561
352,0.923295,0.252841
353,0.923513,0.254958
354,0.923729,0.254237
355,0.923944,0.253521
356,0.924157,0.252809
357,0.92437,0.252101
358,0.924581,0.251397
359,0.924791,0.250696
360,0.925,0.25
361,0.925208,0.249307
362,0.925414,0.251381
363,0.92562,0.250689
364,0.925824,0.252747
365,0.926027,0.252055
366,0.92623,0.254098
367,0.926431,0.253406
368,0.92663,0.252717
369,0.926829,0.252033
370,0.924324,0.251351
371,0.924528,0.250674
